word,category,section,subcategory,phonetic,part_of_speech,meaning_cn,example_en,example_cn,source,difficulty
aback,GRE,GRE核心词,GRE核心词,,adv.,吃惊地,,,gre核心词data.xlsx,1
abandon,GRE,GRE核心词,GRE核心词,,n.,放纵,,,gre核心词data.xlsx,1
abash,GRE,GRE核心词,GRE核心词,,v.,"使羞愧, 使困窘",,,gre核心词data.xlsx,1
abate,GRE,GRE核心词,GRE核心词,,v.,减弱,,,gre核心词data.xlsx,1
abbreviate,GRE,GRE核心词,GRE核心词,,v.,缩短,,,gre核心词data.xlsx,1
aberrant,GRE,GRE核心词,GRE核心词,,adj.,不正常的,,,gre核心词data.xlsx,1
abet,GRE,GRE核心词,GRE核心词,,v.,"怂恿, 支持, 教唆（犯罪）",,,gre核心词data.xlsx,1
abeyance,GRE,GRE核心词,GRE核心词,,n.,"中止, 暂停",,,gre核心词data.xlsx,1
abhor,GRE,GRE核心词,GRE核心词,,v.,厌恶,,,gre核心词data.xlsx,1
abide,GRE,GRE核心词,GRE核心词,/əˈbaɪd/,verb,遵守,You must abide by the rules.,你必须遵守规则。,,3
abiding,GRE,GRE核心词,GRE核心词,,adj.,长期的,,,gre核心词data.xlsx,1
abnegate,GRE,GRE核心词,GRE核心词,,v.,否认,,,gre核心词data.xlsx,1
abolish,GRE,GRE核心词,GRE核心词,,v.,"废除, 废止",,,gre核心词data.xlsx,1
abominate,GRE,GRE核心词,GRE核心词,,v.,"憎恶, 憎恨",,,gre核心词data.xlsx,1
abound,GRE,GRE核心词,GRE核心词,,v.,"富于, 充满",,,gre核心词data.xlsx,1
abrade,GRE,GRE核心词,GRE核心词,,v.,磨损,,,gre核心词data.xlsx,1
abreast,GRE,GRE核心词,GRE核心词,,adj.,与时俱进的,,,gre核心词data.xlsx,1
abridge,GRE,GRE核心词,GRE核心词,,v.,缩短,,,gre核心词data.xlsx,1
absorbing,GRE,GRE核心词,GRE核心词,,adj.,吸引人的,,,gre核心词data.xlsx,1
abstemious,GRE,GRE核心词,GRE核心词,,adj.,生活节制的,,,gre核心词data.xlsx,1
abstraction,GRE,GRE核心词,GRE核心词,,n.,"抽象, 概要",,,gre核心词data.xlsx,1
abstruse,GRE,GRE核心词,GRE核心词,,adj.,难以理解的,,,gre核心词data.xlsx,1
absurd,GRE,GRE核心词,GRE核心词,/əbˈsɜːd/,adjective,荒谬的,The idea is absurd.,这个想法很荒谬。,,2
abuse,GRE,GRE核心词,GRE核心词,,v.,滥用,,,gre核心词data.xlsx,1
abyss,GRE,GRE核心词,GRE核心词,,n.,深渊（指危险的处境）,,,gre核心词data.xlsx,1
accede,GRE,GRE核心词,GRE核心词,,v.,同意,,,gre核心词data.xlsx,1
accent,GRE,GRE核心词,GRE核心词,,v.,发重音,,,gre核心词data.xlsx,1
accentuate,GRE,GRE核心词,GRE核心词,,v.,强调,,,gre核心词data.xlsx,1
acclaim,GRE,GRE核心词,GRE核心词,,v.,"欢呼, 喝彩",,,gre核心词data.xlsx,1
accolade,GRE,GRE核心词,GRE核心词,,n.,赞美,,,gre核心词data.xlsx,1
accommodate,GRE,GRE核心词,GRE核心词,,v.,调解,,,gre核心词data.xlsx,1
accord,GRE,GRE核心词,GRE核心词,,n.,"和谐, 一致",,,gre核心词data.xlsx,1
accountable,GRE,GRE核心词,GRE核心词,,adj.,（对某事）负责任的,,,gre核心词data.xlsx,1
accrete,GRE,GRE核心词,GRE核心词,,v.,逐渐增长,,,gre核心词data.xlsx,1
accretive,GRE,GRE核心词,GRE核心词,,adj.,增积的,,,gre核心词data.xlsx,1
acerbic,GRE,GRE核心词,GRE核心词,,adj.,（语言）辛辣尖刻的,,,gre核心词data.xlsx,1
acidic,GRE,GRE核心词,GRE核心词,,adj.,"酸的, 尖酸刻薄的",,,gre核心词data.xlsx,1
acknowledge,GRE,GRE核心词,GRE核心词,,v.,感谢,,,gre核心词data.xlsx,1
acme,GRE,GRE核心词,GRE核心词,,n.,最高点,,,gre核心词data.xlsx,1
acolyte,GRE,GRE核心词,GRE核心词,,n.,助手,,,gre核心词data.xlsx,1
acquiesce,GRE,GRE核心词,GRE核心词,/ˌækwiˈes/,verb,默认,He acquiesced to their demands.,他默许了他们的要求。,,3
acquired,GRE,GRE核心词,GRE核心词,,adj.,后天习得的,,,gre核心词data.xlsx,1
acquisitive,GRE,GRE核心词,GRE核心词,,adj.,贪婪的,,,gre核心词data.xlsx,1
acquittal,GRE,GRE核心词,GRE核心词,,n.,宣告无罪,,,gre核心词data.xlsx,1
acrimony,GRE,GRE核心词,GRE核心词,,n.,"尖刻, 犀利",,,gre核心词data.xlsx,1
acumen,GRE,GRE核心词,GRE核心词,,n.,"机智, 精明",,,gre核心词data.xlsx,1
acute,GRE,GRE核心词,GRE核心词,,adj.,严重的，关键的,,,gre核心词data.xlsx,1
adamant,GRE,GRE核心词,GRE核心词,,adj.,固执的,,,gre核心词data.xlsx,1
adduce,GRE,GRE核心词,GRE核心词,,v.,引用…证明,,,gre核心词data.xlsx,1
