word,category,phonetic,part_of_speech,meaning_cn,example_en,example_cn,difficulty
abandon,IELTS,/əˈbændən/,verb,放弃,He decided to abandon the plan.,他决定放弃这个计划。,2
accurate,IELTS,/ˈækjərət/,adjective,准确的,The report is accurate and clear.,这份报告准确而清晰。,1
acquire,IELTS,/əˈkwaɪə(r)/,verb,获得,She acquired a good knowledge of French.,她习得了流利的法语。,2
adapt,IELTS,/əˈdæpt/,verb,适应,We must adapt to the new conditions.,我们必须适应新环境。,1
adequate,IELTS,/ˈædɪkwət/,adjective,足够的,The food was adequate for everyone.,食物足够每个人吃。,2
benefit,GRE,/ˈbenɪfɪt/,noun,利益,The new policy benefits everyone.,新政策让每个人受益。,2
abide,GRE,/əˈbaɪd/,verb,遵守,You must abide by the rules.,你必须遵守规则。,3
absurd,GRE,/əbˈsɜːd/,adjective,荒谬的,The idea is absurd.,这个想法很荒谬。,2
acquiesce,GRE,/ˌækwiˈes/,verb,默认,He acquiesced to their demands.,他默许了他们的要求。,3
admonish,GRE,/ədˈmɒnɪʃ/,verb,警告,She admonished him for his mistake.,她警告他不要再犯。,3
aesthetic,GRE,/iːsˈθetɪk/,adjective,美学的,The aesthetic design is impressive.,美学设计令人印象深刻。,2
affluent,GRE,/ˈæfluənt/,adjective,富裕的,Affluent neighborhoods.,富裕的社区。,2
alacrity,GRE,/əˈlækrəti/,noun,欣然,He accepted the offer with alacrity.,他欣然接受了提议。,3
amalgamate,GRE,/əˈmælɡəmeɪt/,verb,合并,The companies amalgamated.,公司合并了。,3
ambiguous,GRE,/æmˈbɪɡjuəs/,adjective,模糊的,The statement was ambiguous.,这份声明含糊不清。,3
ameliorate,GRE,/əˈmiːliəreɪt/,verb,改善,Measures to ameliorate poverty.,扶贫措施。,3
anachronism,GRE,/əˈnækrənɪzəm/,noun,时代错误,The old customs are an anachronism.,旧习俗不合时宜。,3
analogous,GRE,/əˈnæləɡəs/,adjective,类似的,Analogous situations.,类似的情况。,3
anomaly,GRE,/əˈnɒməli/,noun,异常,This is an anomaly.,这是异常现象。,2
antipathy,GRE,/ænˈtɪpəθi/,noun,反感,Strong antipathy.,强烈的反感。,3
apathy,GRE,/ˈæpəθi/,noun,冷漠,Political apathy.,政治冷漠。,2
appease,GRE,/əˈpiːz/,verb,安抚,Appease the critics.,安抚批评者。,3
arbitrary,GRE,/ˈɑːbɪtrəri/,adjective,任意的,An arbitrary decision.,一个武断的决定。,2
archaic,GRE,/ɑːˈkeɪɪk/,adjective,过时的,Archaic language.,过时的语言。,3
arduous,GRE,/ˈɑːdjuəs/,adjective,艰巨的,An arduous task.,艰巨的任务。,2
articulate,GRE,/ɑːˈtɪkjuleɪt/,verb,清晰地表达,Articulate your thoughts.,清晰地表达你的想法。,2
ascertain,GRE,/ˌæsəˈteɪn/,verb,查明,Ascertain the facts.,查明事实。,3
assiduous,GRE,/əˈsɪdjuəs/,adjective,勤奋的,Assiduous worker.,勤奋的工作者。,3
atrophy,GRE,/ˈætrəfi/,verb,萎缩,Muscles atrophy without use.,肌肉不使用会萎缩。,3
austere,GRE,/ɒˈstɪə(r)/,adjective,简朴的,Austere lifestyle.,简朴的生活方式。,3
autonomous,GRE,/ɔːˈtɒnəməs/,adjective,自治的,Autonomous region.,自治区。,2
aversion,GRE,/əˈvɜːʒn/,noun,厌恶,Have an aversion to.,厌恶...。,2
banal,GRE,/bəˈnɑːl/,adjective,陈腐的,Banal remarks.,陈腐的言论。,3
belligerent,GRE,/bəˈlɪdʒərənt/,adjective,好斗的,A belligerent attitude.,好斗的态度。,3
benevolent,GRE,/bəˈnevələnt/,adjective,仁慈的,A benevolent smile.,仁慈的微笑。,2
brittle,GRE,/ˈbrɪtl/,adjective,易碎的,Brittle glass.,易碎的玻璃。,2
